House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
13,Moore Roads,Gerald,Davies,22,Son,Single,Male,University Student,None,None
13,Moore Roads,Benjamin,Green,22,Son,Single,Male,University Student,None,None
13,Moore Roads,Suzanne,Green,21,Daughter,Single,Female,University Student,None,None
13,Moore Roads,Ruth,Green,16,Daughter,NA,Female,Student,None,NA
13,Moore Roads,Beverley,Green,12,Daughter,NA,Female,Student,None,NA
13,Moore Roads,Nigel,Green,12,Son,NA,Male,Student,None,NA
14,Moore Roads,Rosemary,Farmer,43,Head,Married,Female,Commercial art gallery manager,None,Catholic
14,Moore Roads,Joe,Farmer,45,Husband,Married,Male,"Engineer, land",None,Catholic
14,Moore Roads,Amelia,Farmer,9,Daughter,NA,Female,Student,None,NA
14,Moore Roads,Dorothy,Farmer,6,Daughter,NA,Female,Student,None,NA
14,Moore Roads,Owen,Farmer,3,Son,NA,Male,Child,None,NA
14,Moore Roads,Iain,Farmer,0,Son,NA,Male,Child,None,NA
14,Moore Roads,Lawrence,Farmer,0,Son,NA,Male,Child,None,NA
14,Moore Roads,Gregory,Rose,35,Sibling,Widowed,Male,"Psychologist, forensic",None,Catholic
15,Moore Roads,Suzanne,Grant,62,Head,Married,Female,"Scientist, forensic",None,Methodist
15,Moore Roads,Damian,Grant,63,Husband,Married,Male,Bookseller,None,Methodist
15,Moore Roads,Tracy,Townsend,27,Granddaughter,Single,Female,Aid worker,None,Methodist
15,Moore Roads,Allan,Marsh,26,Grandson,Single,Male,Dietitian,None,Methodist
15,Moore Roads,Samuel,Atkinson,23,Grandson,Single,Male,Armed forces technical officer,None,Methodist
16,Moore Roads,Elizabeth,Sullivan,61,Head,Married,Female,Marketing executive,None,Christian
16,Moore Roads,Dominic,Sullivan,63,Husband,Married,Male,Farm manager,None,None
16,Moore Roads,Francis,Sullivan,18,Son,Single,Male,Student,None,None
16,Moore Roads,Justin,Sullivan,14,Son,NA,Male,Student,None,NA
16,Moore Roads,Stacey,Sullivan,11,Daughter,NA,Female,Student,None,NA
16,Moore Roads,Lesley,Sullivan,8,Daughter,NA,Female,Student,None,NA
16,Moore Roads,Russell,Sullivan,4,Son,NA,Male,Child,None,NA
16,Moore Roads,Victor,Sullivan,0,Son,NA,Male,Child,None,NA
16,Moore Roads,Darren,Sullivan,0,Son,NA,Male,Child,None,NA
16,Moore Roads,Marcus,Brookes,18,Lodger,Single,Male,Student,None,NA
16,Moore Roads,Roy,Collins,33,Lodger,Single,Male,Broadcast journalist,None,None
16,Moore Roads, ,Charlton,25,Lodger,Single,Male,Theatre manager,None,Catholic
16,Moore Roads,Danielle,Connolly,53,Cousin,Single,Female,"Conservation officer, historic buildings",None,Christian
16,Moore Roads,Frances,Burton,44,Lodger,Single,Female,Travel agency manager,None,Catholic
16,Moore Roads,Jake,Bond,59,Cousin,Divorced,Male,Music tutor,None,None
16,Moore Roads,Ricky,Jones,50,Lodger,Divorced,Male,Interpreter,None,None
16,Moore Roads,Molly,Butler,52,Lodger,Single,Female,Arboriculturist,None,Christian
16,Moore Roads,Glen,Pearce,58,Visitor,Widowed,Male,Insurance account manager,None,Christian
16,Moore Roads,Sam,Parker,45,Lodger,Divorced,Male,Clinical molecular geneticist,None,None
17,Moore Roads,Barbara,Cole,40,Head,Married,Female,"Radiographer, therapeutic",None,None
17,Moore Roads,Joseph,Cole,44,Husband,Married,Male,"Administrator, local government",None,None
17,Moore Roads,Nicole,Cole,7,Daughter,NA,Female,Student,None,NA
17,Moore Roads,Colin,Cole,7,Son,NA,Male,Student,None,NA
17,Moore Roads,Ashleigh,Cole,7,Daughter,NA,Female,Student,None,NA
18,Moore Roads,Bradley,Butler,42,Head,Married,Male,Seismic interpreter,None,None
18,Moore Roads,Mary,Butler,40,Wife,Married,Female,Firefighter,None,None
18,Moore Roads,Deborah,Butler,6,Daughter,NA,Female,Student,None,NA
18,Moore Roads,Brenda,Butler,4,Daughter,NA,Female,Child,None,NA
18,Moore Roads,Ronald,Butler,0,Son,NA,Male,Child,None,NA
19,Moore Roads,Catherine,Cox,64,Head,Married,Female,Science writer,None,Christian
19,Moore Roads,Nathan,Cox,65,Husband,Married,Male,Clinical cytogeneticist,None,Christian
19,Moore Roads,Helen,Cox,34,Daughter,Divorced,Female,Fitness centre manager,None,Christian
19,Moore Roads,Elaine,Cox,31,Daughter,Single,Female,Health service manager,None,Christian
19,Moore Roads,Kathryn,Cox,27,Daughter,Divorced,Female,Sports administrator,None,None
20,Moore Roads,Lesley,Bell,39,Head,Married,Female,Adult guidance worker,None,Methodist
20,Moore Roads,Alexander,Bell,43,Husband,Married,Male,Animal nutritionist,None,Methodist
20,Moore Roads,Anthony,Bell,11,Son,NA,Male,Student,None,NA
20,Moore Roads,Carly,Bell,10,Daughter,NA,Female,Student,None,NA
21,Moore Roads,Natasha,Day,63.14211623,Head,Married,Female,Psychiatric nurse,None,Jewish
21,Moore Roads,Paul,Day,66.14211623,Husband,Married,Male,"Surveyor, building control",None,Jewish
21,Moore Roads,Judith,Day,18,Daughter,Single,Female,Student,None,None
21,Moore Roads,Henry,Day,14,Son,NA,Male,Student,None,NA
21,Moore Roads,Nicola,Day,11,Daughter,NA,Female,Student,None,NA
22,Moore Roads,Lydia,West,49,Head,Single,Female,Unemployed,None,Catholic
22,Moore Roads,Kyle,West,12,Son,NA,Male,Student,None,NA
22,Moore Roads,Frances,West,9,Daughter,NA,Female,Student,None,NA
22,Moore Roads,Stephen,West,8,Son,NA,Male,Student,None,NA
22,Moore Roads,Donald,West,6,Son,NA,Male,Student,None,NA
23,Moore Roads,Lisa,Holt,66,Head,Married,Female,Furniture conservator/restorer,None,Methodist
23,Moore Roads,Leslie,Holt,68,Husband,Married,Male,Retired Pensions consultant,None,Methodist
23,Moore Roads,Leslie,Holt,39,Son,Divorced,Male,Printmaker,None,Methodist
23,Moore Roads,Jamie,Kelly-Holt,39,Son,Single,Male,Agricultural consultant,None,Methodist
23,Moore Roads,Charles,Kelly-Holt,38,Son,Single,Male,Public relations account executive,None,None
24,Moore Roads,Bradley,Watson,38,Head,Single,Male,Ergonomist,None,None
25,Moore Roads,Lydia,Owen,80,Head,Married,Female,Retired Land/geomatics surveyor,None,Catholic
25,Moore Roads,Mohammad,Owen,81,Husband,Married,Male,Retired Learning mentor,None,None
25,Moore Roads,Lewis,Owen,39,Son,Single,Male,Bonds trader,None,Catholic
25,Moore Roads,Kelly,Owen,36,Daughter,Single,Female,Ergonomist,None,Catholic
25,Moore Roads,Ruth,Owen,36,Daughter,Single,Female,Unemployed,None,Catholic
26,Moore Roads,Janet,Clarke,64,Head,Married,Female,"Programme researcher, broadcasting/film/video",None,Methodist
26,Moore Roads,Antony,Clarke,66,Husband,Married,Male,Chief Strategy Officer,None,Methodist
26,Moore Roads,Norman,Clarke,8,Grandson,NA,Male,Student,None,NA
26,Moore Roads,Michael,Clarke,6,Grandson,NA,Male,Student,None,NA
26,Moore Roads,Damien,Clarke,2,Grandson,NA,Male,Child,None,NA
27,Moore Roads,Geraldine,Goddard,43,Head,Single,Female,"Engineer, mining",None,Catholic
27,Moore Roads,Alexander,Gill,49,None,Single,Male,Metallurgist,None,Catholic
27,Moore Roads,Roger,Francis,25,None,Single,Male,Archivist,None,None
27,Moore Roads,Barbara,Hancock,30,None,Single,Female,Information systems manager,None,Methodist
27,Moore Roads,Kerry,Wright,48,None,Single,Female,"Designer, furniture",None,Methodist
28,Moore Roads,Megan,Mitchell,57,Head,Married,Female,Communications engineer,None,None
28,Moore Roads,Mathew,Mitchell,64,Husband,Married,Male,Hospital pharmacist,None,None
28,Moore Roads,Sylvia,Mitchell,34,Daughter,Widowed,Female,Health and safety adviser,None,None
28,Moore Roads,Lorraine,Mitchell,34,Daughter,Divorced,Female,Soil scientist,None,None
28,Moore Roads,Georgina,Mitchell,33,Daughter,Divorced,Female,Wellsite geologist,None,None
28,Moore Roads,Iain,Mitchell,29,Son,Divorced,Male,Race relations officer,None,None
28,Moore Roads,Sophie,Mitchell,25,Daughter,Single,Female,Learning mentor,None,None
28,Moore Roads,Edward,Flynn,21,Son,Divorced,Male,University Student,None,None
28,Moore Roads,Rachael,Flynn,17,Daughter,NA,Female,Student,None,NA
28,Moore Roads,Elizabeth,Flynn,13,Daughter,NA,Female,Student,None,NA
28,Moore Roads,Dawn,Flynn,9,Daughter,NA,Female,Student,None,NA
29,Moore Roads,Samantha,Short,71,Head,Single,Female,Retired Further education lecturer,None,Christian
29,Moore Roads,Anthony,Patel,73,Partner,Single,Male,Retired Animal nutritionist,None,Christian
29,Moore Roads,Scott,Short,26,Son,Single,Male,Outdoor activities/education manager,None,None
29,Moore Roads,Barry,Ryan-Short,19,Son,Divorced,Male,University Student,None,Christian
29,Moore Roads,Michelle,Ryan-Short,16,Daughter,NA,Female,Student,None,NA
30,Moore Roads,Linda,Myers,22,Head,Divorced,Female,"Engineer, petroleum",None,None
31,Moore Roads,Sandra,Warren,52,Head,Married,Female,"Designer, textile",None,Christian
31,Moore Roads,Brandon,Warren,57,Husband,Married,Male,Volunteer coordinator,None,Christian
31,Moore Roads,Hilary,Warren,25,Daughter,Divorced,Female,Theatre director,None,Christian
31,Moore Roads,Anna,Warren,22,Daughter,Single,Female,University Student,None,None
31,Moore Roads,Karl,Warren,18,Son,Single,Male,Student,None,Christian
32,Moore Roads,Donald,Williams,49,Head,Married,Male,Lobbyist,None,Christian
32,Moore Roads,Jessica,Williams,52,Wife,Married,Female,Sales executive,None,Christian
32,Moore Roads,Marie,Williams,29,Daughter,Single,Female,Dealer,None,None
32,Moore Roads,Dorothy,Williams,28,Daughter,Single,Female,Product designer,None,Christian
32,Moore Roads,Garry,Williams,3,Son,NA,Male,Child,None,NA
33,Moore Roads,Judith,Riley,60,Head,Married,Female,"Education officer, environmental",None,Methodist
33,Moore Roads,Bruce,Riley,61,Husband,Married,Male,"Engineer, broadcasting (operations)",None,Methodist
33,Moore Roads,Eric,Riley,26,Son,Single,Male,Health and safety adviser,None,Methodist
33,Moore Roads,Carol,Riley,22,Daughter,Divorced,Female,University Student,None,Methodist
33,Moore Roads,Sean,Riley,18,Son,Divorced,Male,Student,None,None
33,Moore Roads,Arthur,Riley,15,Son,NA,Male,Student,None,NA
33,Moore Roads,Katherine,Riley,13,Daughter,NA,Female,Student,None,NA
33,Moore Roads,Ian,Riley,7,Son,NA,Male,Student,None,NA
33,Moore Roads,Albert,Riley,5,Son,NA,Male,Student,None,NA
33,Moore Roads,Reece,Riley,2,Son,NA,Male,Child,None,NA
33,Moore Roads,Clifford,Davison,36,Visitor,Widowed,Male,"Psychologist, counselling",None,Catholic
34,Moore Roads,Sally,Singh,70,Head,Widowed,Female,Retired Facilities manager,None,Methodist
35,Moore Roads,Lynn,Evans,36,Head,Married,Female,"Accountant, chartered management",None,Catholic
35,Moore Roads,Shaun,Evans,39,Husband,Married,Male,Actuary,None,None
35,Moore Roads,Reece,Evans,4,Son,NA,Male,Child,None,NA
35,Moore Roads,Vincent,Evans,3,Son,NA,Male,Child,None,NA
36,Moore Roads,Ruth,Turner,62,Head,Married,Female,Architect,None,Christian
36,Moore Roads,Allan,Turner,65,Husband,Married,Male,"Restaurant manager, fast food",None,None
36,Moore Roads,Alexandra,Turner,35,Daughter,Divorced,Female,Government social research officer,None,Christian
36,Moore Roads,Howard,Turner,29,Son,Divorced,Male,Television production assistant,None,Christian
36,Moore Roads,Ellie,Turner,29,Daughter,Divorced,Female,"Programmer, applications",None,Christian
37,Moore Roads,Mary,Cunningham,65,Head,Divorced,Female,Unemployed,None,Muslim
37,Moore Roads,Joanne,Cunningham,33,Daughter,Single,Female,"Research officer, government",None,Muslim
37,Moore Roads,Harriet,Cunningham,29,Daughter,Widowed,Female,Magazine journalist,None,Muslim
37,Moore Roads,Dean,Cunningham,21,Son,Divorced,Male,University Student,None,None
37,Moore Roads,Elliott,Cunningham,18,Son,Single,Male,Student,None,Muslim
38,Moore Roads,Catherine,Edwards,53,Head,Married,Female,"Scientist, biomedical",None,None
38,Moore Roads,Andrew,Edwards,55,Husband,Married,Male,"Editor, commissioning",None,None
38,Moore Roads,Georgina,Edwards,16,Daughter,NA,Female,Student,None,NA
38,Moore Roads,Philip,Edwards,10,Son,NA,Male,Student,None,NA
38,Moore Roads,Irene,Edwards,10,Daughter,NA,Female,Student,None,NA
38,Moore Roads,Marcus,Edwards,10,Son,NA,Male,Student,None,NA
38,Moore Roads,Janet,Edwards,6,Daughter,NA,Female,Student,None,NA
38,Moore Roads,Chelsea,Edwards,6,Daughter,NA,Female,Student,None,NA
39,Moore Roads,Charlotte,Hammond,44,Head,Single,Female,"Teacher, English as a foreign language",None,Christian
39,Moore Roads,Sally,Patel,60,None,Divorced,Female,Manufacturing engineer,None,None
39,Moore Roads,Callum,Potter,61,None,Single,Male,Chiropractor,None,Christian
39,Moore Roads,Holly,Miller,37,None,Single,Female,"Geologist, engineering",None,Christian
39,Moore Roads,Shirley,Hughes,35,None,Single,Female,"Production assistant, television",None,Catholic
39,Moore Roads,Cheryl,Ross,33,None,Single,Female,"Lecturer, further education",None,Muslim
39,Moore Roads,George,Stone,49,None,Single,Male,IT sales professional,None,Catholic
39,Moore Roads,Kim,Willis,20,None,Single,Female,University Student,None,None
39,Moore Roads,Jonathan,Hussain,52,None,Single,Male,Charity fundraiser,None,Catholic
39,Moore Roads,Frederick,Morgan,52,None,Single,Male,Unemployed,None,None
40,Moore Roads,Beth,Burke,45,Head,Married,Female,"Accountant, chartered",None,None
40,Moore Roads,Callum,Burke,47,Husband,Married,Male,Merchant navy officer,None,None
40,Moore Roads,Laura,Burke,16,Daughter,NA,Female,Student,None,NA
40,Moore Roads,Jacqueline,Burke,12,Daughter,NA,Female,Student,None,NA
40,Moore Roads,Rebecca,Burke,7,Daughter,NA,Female,Student,None,NA
41,Moore Roads,Lucy,Harris,43,Head,Single,Female,Unemployed,None,None
41,Moore Roads,Victor,Morgan,45,Partner,Single,Male,"Scientist, marine",None,None
41,Moore Roads,Hazel,Harris,24,Daughter,Divorced,Female,Recycling officer,None,None
41,Moore Roads,Garry,Murphy-Harris,21,Son,Single,Male,University Student,None,None
41,Moore Roads,Maurice,Murphy-Harris,11,Son,NA,Male,Student,None,NA
42,Moore Roads,Shannon,Lowe,46,Head,Married,Female,Barrister,None,Christian
42,Moore Roads,Hugh,Lowe,48,Husband,Married,Male,Unemployed,None,Christian
42,Moore Roads,Rebecca,Lowe,26,Daughter,Single,Female,Surgeon,None,Christian
42,Moore Roads,Amber,Lowe,25,Daughter,Single,Female,Naval architect,None,Christian
42,Moore Roads,Hilary,Lowe,11,Daughter,NA,Female,Student,None,NA
43,Moore Roads,Dawn,Webster,65,Head,Married,Female,Marketing executive,None,Methodist
43,Moore Roads,Gerard,Webster,67,Husband,Married,Male,Farm manager,None,Methodist
43,Moore Roads,Marie,Webster,44,Daughter,Single,Female,Race relations officer,None,None
43,Moore Roads,Leigh,Webster,43,Son,Single,Male,Cartographer,None,None
43,Moore Roads,Connor,Webster,40,Son,Divorced,Male,Radiation protection practitioner,None,Methodist
44,Moore Roads,Frances,Bradley,91,Head,Single,Female,Retired Arts administrator,None,Christian
44,Moore Roads,Hugh,Richardson,87,Partner,Single,Male,Retired Architectural technologist,None,None
44,Moore Roads,Jay,Bradley,49,Son,Divorced,Male,Personnel officer,None,Christian
44,Moore Roads,Jack,Bradley,48,Son,Divorced,Male,Animal nutritionist,None,None
44,Moore Roads,Russell,Bradley,45,Son,Single,Male,Transport planner,None,Christian
44,Moore Roads,June,Bradley,41,Daughter,Single,Female,"Geologist, wellsite",None,Christian
44,Moore Roads,Sam,Bradley,40,Son,Single,Male,Recycling officer,None,Christian
44,Moore Roads,Joshua,Bradley,36,Son,Single,Male,Special educational needs teacher,None,Christian
44,Moore Roads,Charles,Bradley,32,Son,Single,Male,"Doctor, hospital",None,Christian
44,Moore Roads,Teresa,Bradley,31,Daughter,Divorced,Female,Animal nutritionist, ,Christian
44,Moore Roads,Damien,Bradley,28,Son,Single,Male,"Engineer, manufacturing systems",None,None
